Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay  ,Max Operating Freq.  ,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,Instance Name ,Instance Num
CF50_RF_2P_128X128PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,128,FALSE,,,TRUE,1,4,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_128X144PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,144,FALSE,,,TRUE,1,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_128X172PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,172,FALSE,,,TRUE,1,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_128X36PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,36,FALSE,,,TRUE,1,2,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_128X47PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,47,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_128X83PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,128,83,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_176X128PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,176,128,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_176X144PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,176,144,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_176X160PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,176,160,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_176X36PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,176,36,FALSE,,,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_176X47PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,176,47,FALSE,,,TRUE,4,1,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X128PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,128,FALSE,,,TRUE,1,8,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X144PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,144,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X160PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,160,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X172PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,172,FALSE,,,TRUE,1,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X36PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,36,FALSE,,,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X47PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,47,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_256X83PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,256,83,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X128PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,128,FALSE,,,TRUE,2,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X144PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,144,FALSE,,,TRUE,2,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X160PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,160,FALSE,,,TRUE,2,4,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X36PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,36,FALSE,,,TRUE,2,4,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X47PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,47,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_512X83PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,512,83,FALSE,,,TRUE,4,2,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_2P_768X128PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,768,128,FALSE,,,TRUE,4,4,TRUE,HIGH,FALSE,FALSE,,1
CF50_RF_2P_768X36PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,768,36,FALSE,,,TRUE,4,8,TRUE,HIGH,FALSE,FALSE,,1
CF50_RF_2P_768X47PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,768,47,FALSE,,,TRUE,4,4,TRUE,HIGH,FALSE,FALSE,,1
CF50_RF_2P_768X72PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,768,72,FALSE,,,TRUE,4,4,TRUE,HIGH,FALSE,FALSE,,2
CF50_RF_2P_768X83PG,HD RF (128K GEN2),ts28nzh42p11sadgl128sa02p2,,768,83,FALSE,,,TRUE,4,4,TRUE,HIGH,FALSE,FALSE,,1
CF50_RF_1P_128X128PG,HD RF (128K GEN2),ts28nzh41p11sadgl128sa03,,128,128,FALSE,,,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,,0
CF50_RF_1P_256X128PG,HD RF (128K GEN2),ts28nzh41p11sadgl128sa03,,256,128,FALSE,,,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,,3
CF50_RF_1P_512X128PG,HD RF (128K GEN2),ts28nzh41p11sadgl128sa03,,512,128,FALSE,,,TRUE,4,1,TRUE,HIGH,FALSE,FALSE,,0
CF50_RF_1P_768X128PG,HD RF (128K GEN2),ts28nzh41p11sadgl128sa03,,768,128,FALSE,,,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,,0
