Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay ,Max Operating Freq.  ,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,Instance Name ,Number,BitsCount,Summary
HEVC_RF_2P_128X128,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,128,FALSE, , ,FALSE,1,4,FALSE,HIGH,FALSE,,u_blk_dpreg128x128,2,32768,
HEVC_RF_2P_128X136,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,136,FALSE, , ,FALSE,1,2,TRUE,HIGH,FALSE,,u_blk_dpreg128x136,3,52224,
HEVC_RF_2P_128X136B1,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,136,TRUE, , ,FALSE,1,2,TRUE,HIGH,FALSE,,u_blk_dpreg128x136B1_e68,1,17408,
HEVC_RF_2P_128X68,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,68,FALSE, , ,FALSE,1,2,FALSE,HIGH,FALSE,,u_blk_dpreg128x68,4,34816,
HEVC_RF_2P_192X190B1,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,190,TRUE, , ,FALSE,2,2,TRUE,HIGH,FALSE,,u_blk_dpreg192X190B1_e10_1,2,72960,
HEVC_RF_2P_192X160B1,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,160,TRUE, , ,FALSE,1,4,TRUE,HIGH,FALSE,,u_blk_dpreg188x160B1_e10,1,30720,
HEVC_RF_2P_192X110B1,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,110,TRUE, , ,FALSE,2,2,TRUE,HIGH,FALSE,,u_blk_dpreg192x110B1_e1,2,42240,
HEVC_RF_2P_192X32B1,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,32,TRUE, , ,FALSE,2,2,FALSE,HIGH,FALSE,,u_blk_dpreg192x32B1_e8,1,6144,
HEVC_RF_2P_208X16,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,208,16,FALSE, , ,FALSE,2,2,FALSE,HIGH,FALSE,,u_blk_dpreg208x16,1,3328,
HEVC_RF_2P_256X128,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,256,128,FALSE, , ,FALSE,1,8,FALSE,HIGH,FALSE,,u_blk_dpreg256x128,1,32768,
